Feature,Mean_Abs_SHAP
URLSimilarityIndex,0.2961763735900881
LineOfCode,0.06911094482282604
IsHTTPS,0.05359940403917445
NoOfImage,0.007068871210224083
LargestLineLength,0.004471892592666464
NoOfExternalRef,0.0028988320732727516
DomainTitleMatchScore,0.0026653945981239026
NoOfJS,0.0025951514973370344
NoOfSelfRef,0.0024765428816616807
NoOfPopup,0.0021675325741123616
NoOfCSS,0.0021127869408231028
NoOfSubDomain,0.002085208883161138
LetterRatioInURL,0.0020812767730343158
Pay,0.0019383663382210087
URLTitleMatchScore,0.0019143603178032001
HasDescription,0.0019045454528028797
HasPasswordField,0.0019006035399386032
NoOfOtherSpecialCharsInURL,0.0018579995376501236
NoOfDegitsInURL,0.0018435398288742426
Bank,0.0018365090464640247
NoOfQMarkInURL,0.0018340931054730144
TLDLegitimateProb,0.0018310385278457785
HasExternalFormSubmit,0.0017858941588534524
IsResponsive,0.001768302762512613
HasSubmitButton,0.0017644267805079993
Robots,0.0017496182126380472
DegitRatioInURL,0.0017235946130543414
URLLength,0.0016772518325626658
HasFavicon,0.001639930136695314
TLDLength,0.001639740401472178
NoOfEmptyRef,0.0015998360627780335
NoOfEqualsInURL,0.0015919018118980628
NoOfLettersInURL,0.0015817624467935028
HasSocialNet,0.0015769559506393072
HasTitle,0.0015380513293542404
NoOfURLRedirect,0.0015288682728462897
SpacialCharRatioInURL,0.0015257444022940252
URLCharProb,0.001498077111468475
NoOfSelfRedirect,0.0014311528102641867
CharContinuationRate,0.0013930015598236705
HasHiddenFields,0.0013654561502320747
HasCopyrightInfo,0.0013545717548638858
DomainLength,0.0012866355390691293
NoOfiFrame,0.001191845118627063
Crypto,0.00010297482409304071
IsDomainIP,0.0
ObfuscationRatio,0.0
NoOfObfuscatedChar,0.0
HasObfuscation,0.0
NoOfAmpersandInURL,0.0
