Feature,Mean_Abs_SHAP,XGBoost_Importance,SHAP_Normalized,XGBoost_Normalized,Difference
URLSimilarityIndex,0.2961763735900881,0.63794756,1.0,1.0,0.0
LineOfCode,0.06911094482282604,0.012456306,0.23334388217770696,0.019525595,0.21381828716838003
IsHTTPS,0.05359940403917445,0.008001393,0.18097123477295565,0.012542399,0.16842883612648177
NoOfImage,0.007068871210224083,0.00045623098,0.02386710028399325,0.00071515434,0.023151945944433875
LargestLineLength,0.004471892592666464,0.000119605495,0.01509874855465555,0.00018748484,0.014911263716121403
NoOfExternalRef,0.0028988320732727516,0.28092676,0.009787519639513085,0.44036028,-0.430572758251646
DomainTitleMatchScore,0.0026653945981239026,0.0019891274,0.008999349157447795,0.0031180107,0.005881338453973511
NoOfJS,0.0025951514973370344,9.420175e-05,0.00876218270174635,0.00014766378,0.008614518917300156
NoOfSelfRef,0.0024765428816616807,0.009276815,0.008361716539514553,0.014541658,-0.006179941102015484
NoOfPopup,0.0021675325741123616,0.0,0.00731838447421959,0.0,0.00731838447421959
NoOfCSS,0.0021127869408231028,0.00016939508,0.007133543149350687,0.00026553136,0.006868011791041597
NoOfSubDomain,0.002085208883161138,0.0054449593,0.007040429518011095,0.008535121,-0.0014946911182136518
LetterRatioInURL,0.0020812767730343158,0.00015185706,0.0070271532729171355,0.00023804004,0.0067891132327864085
Pay,0.0019383663382210087,0.0,0.006544635261500408,0.0,0.006544635261500408
URLTitleMatchScore,0.0019143603178032001,0.0,0.006463582137219019,0.0,0.006463582137219019
HasDescription,0.0019045454528028797,0.002261794,0.0064304435553620325,0.003545423,0.0028850205170581804
HasPasswordField,0.0019006035399386032,0.0,0.006417134212633257,0.0,0.006417134212633257
NoOfOtherSpecialCharsInURL,0.0018579995376501236,0.0038670558,0.006273287484509547,0.006061714,0.000211573341948588
NoOfDegitsInURL,0.0018435398288742426,0.014882669,0.006224466207509602,0.023328984,-0.017104517948741352
Bank,0.0018365090464640247,0.0,0.006200727708975791,0.0,0.006200727708975791
NoOfQMarkInURL,0.0018340931054730144,0.007933948,0.006192570606632597,0.012436678,-0.006244107095138662
TLDLegitimateProb,0.0018310385278457785,7.833582e-05,0.006182257232914734,0.00012279351,0.006059463719331715
HasExternalFormSubmit,0.0017858941588534524,0.0,0.006029833295633341,0.0,0.006029833295633341
IsResponsive,0.001768302762512613,0.0,0.005970438293501313,0.0,0.005970438293501313
HasSubmitButton,0.0017644267805079993,0.0,0.005957351557521562,0.0,0.005957351557521562
Robots,0.0017496182126380472,0.0,0.005907352404346544,0.0,0.005907352404346544
DegitRatioInURL,0.0017235946130543414,8.6934444e-05,0.005819487193262142,0.00013627208,0.0056832151137180004
URLLength,0.0016772518325626658,0.002921637,0.005663016979484002,0.004579745,0.0010832722120863595
HasFavicon,0.001639930136695314,0.0,0.005537005254055135,0.0,0.005537005254055135
TLDLength,0.001639740401472178,0.0,0.0055363646383948225,0.0,0.0055363646383948225
NoOfEmptyRef,0.0015998360627780335,0.0,0.005401632964120991,0.0,0.005401632964120991
NoOfEqualsInURL,0.0015919018118980628,0.0,0.0053748440248690315,0.0,0.0053748440248690315
NoOfLettersInURL,0.0015817624467935028,0.0008120464,0.005340609811715375,0.0012729047,0.004067705125085603
HasSocialNet,0.0015769559506393072,0.0035926295,0.005324381318888841,0.0056315437,-0.00030716237703782515
HasTitle,0.0015380513293542404,0.0,0.0051930250570321424,0.0,0.0051930250570321424
NoOfURLRedirect,0.0015288682728462897,0.0,0.005162019692233328,0.0,0.005162019692233328
SpacialCharRatioInURL,0.0015257444022940252,0.003686187,0.0051514723602014085,0.0057781977,-0.0006267253045660953
URLCharProb,0.001498077111468475,0.00011900846,0.005058057444993344,0.00018654896,0.004871508483783279
NoOfSelfRedirect,0.0014311528102641867,0.0,0.004832096473180945,0.0,0.004832096473180945
CharContinuationRate,0.0013930015598236705,8.065644e-05,0.004703283867441779,0.00012643114,0.004576852724297633
HasHiddenFields,0.0013654561502320747,0.0,0.004610280467954826,0.0,0.004610280467954826
HasCopyrightInfo,0.0013545717548638858,0.0008372296,0.004573530759542051,0.00131238,0.0032611508014339834
DomainLength,0.0012866355390691293,0.0018056266,0.004344153193157296,0.0028303682,0.0015137849593126577
NoOfiFrame,0.001191845118627063,0.0,0.00402410598853706,0.0,0.00402410598853706
Crypto,0.00010297482409304071,0.0,0.0003476807513200199,0.0,0.0003476807513200199
IsDomainIP,0.0,0.0,0.0,0.0,0.0
ObfuscationRatio,0.0,0.0,0.0,0.0,0.0
NoOfObfuscatedChar,0.0,0.0,0.0,0.0,0.0
HasObfuscation,0.0,0.0,0.0,0.0,0.0
NoOfAmpersandInURL,0.0,0.0,0.0,0.0,0.0
